001;Account
0W8;WorkFeedbackQuestionSet
0WA;WorkFeedbackQuestion
0WB;WorkFeedback
0WC;WorkFeedbackRequest
0WD;WorkCoaching
0WE;WorkGoal
0WF;WorkGoalCollaborator
0WG;WorkGoalLink
0WH;WorkRewardFundType
0WI;Goal
0WJ;Metric
0WK;GoalLink
0WL;WorkFeedbackTemplate
0WM;MetricDataLink
0WO;WorkOrder
0XA;NamedCredential
0XB;ListEmail
0Xb;WorkSkillRoutingAttribute
0XC;ExternalDataSource - Data Source for External Objects
0XD;ListEmailRecipientSource
0XE;ListEmailSentResult
0XH;CustomHttpHeader
0XR;SalesforceIqUser
0XU;ExternalDataUserAuth
0Xv;SourceChangeNotification
0Ya;LoginHistory
0Ym;SetupAuditTrail
0Yq;RateLimitIntBuckets
0Ys;ParallelJobStatus
0Yu;IdpEventLog
0Yw;UserLogin
0ZA;FileInspectionResult
0ZQ;SendEmailActionDefinition
0Zx;ForecastingDisplayedFamily
0a2;FlexipagePageTypeMetrics
0aD;AuraDefinitionChange
0ab;AuraDefinitionBundleInfo
0ad;AuraDefinitionInfo
0am;AudienceMembership
0c0;CustomIndexDefinition
0c1;CustomIndexFieldDefinition
0ca;ChatterActivity
0cs;OauthConsumerScope
0dr;OrgDeleteRequest
000;ProfileClientSettings
0eb;EntityBlacklist
0en;Endorsement
0eo;CommChannelLayout
0ep;CommChannelLayoutItem
0eq;CommChannelLayoutMapping
0fr;FeedRecommendationInfo
0gv;CaseArticle
0hc;HashtagCount
0hd;HashtagDefinition
0ht;Hashtag
0in;KnowledgeableUser
0ka;UserListPreference
0mt;ManagedTopicLocation
0ns;ProcessNodeSecurity
0rp;RemoteProxy - Remote Site Setting to allow access to an external URL.
0rs;ChatterAnswersReputationLevel
0sa;ChatterAnswersActivity
0sp;ServiceProvider
0sr;ScheduledRecommendation
0t0;TagDefinition
0tR;TopicRecordSetting
0tS;TopicSuggestionSetting
0ta;TopicComputeStatus
0te;TopicUserEvent
0tg;TopicGroupActivity
0tn;TopicNameChange
0tr;TrendingTopic
0ts;ProcessTransitionSecurity
0tu;TopicUserActivity
0up;UserPermissionAccess
0ur;UserRecSummary
100;UserLicense
101;ExternalString - Custom Label
102;FeatureLicense
10y;TaskRecurrenceException
10z;EventRecurrenceException
110;ObjectPermissions Doc
111;EventComments
112;ProposedEventTime
113;ProposedEventResponse
11a;DBCThumbnail
130;Address
131;Location
149;OpportunitySplitType
19i;EmbeddedServiceBranding
1AB;CleanAccountBackup
1AR;AssetRelationship
1CA;AccountCleanInfo
1CB;CleanContactBackup
1CC;ContactCleanInfo
1CF;PathAssistantStepInfo
1CL;LeadCleanInfo
1CP;PathAssistant
1CS;PathAssistantStepItem
1DS;DigitalSignature
1ED;EncryptionStatistics
1EF;DataDotComFieldSetting
1EP;EncryptableDataProblem
1ES;DataDotComEntitySetting
1EV;EventType / CustomEvent
1Ep;EventTypeParameter
1FS;CleanFieldSettingOld
1JS;CleanJobSetting
1HA;FieldHistoryArchive
1HB;LoginEvent
1HC;PlatformEventMetric
1L7;ComparisonSummary
1L8;ComparisonResult
1LB;CleanLeadBackup
1MA;MaintenanceAsset
1MC;MetaMindConnection
1MP;MaintenancePlan
1Mc;PersonAccountMetrics
1NR;NamespaceRegistry
1OZ;CaseExternalDocument
1S1;MenuItem
1SA;StampAssignment
1SR;ServiceReport
1ST;Stamp
1Sl;ServiceTerritoryLocation
1WK;LinkedArticle
1WL;WorkOrderLineItem
1bm;BranchMerge
1br;Branch
1cb;ChangeListBranch
1ci;Integration
1cl;ChangeList
1cm;ServiceCrewMember
1cr;ServiceCrew
1dc;MetadataContainer - from the Tooling AP
1de;IDEWorkspace
1do;ApexExecutionOverlayAction
1dp;IDEPerspective
1dr;ContainerAsyncRequest - from the Tooling API
1gh;GitHubRepositoryLink
1gp;GitHubPushOperation
1mr;MetadataRevisionTemplate
1o1;LightningToggleMetrics
1pm;PartitionLevelMember
1ps;PartitionLevelScheme
1rp;Repository
1rr;ResetAsyncRequest
1sa;StagingArea
1te;TimeSheetEntry
1ts;TimeSheet
1vc;VersionedContentEntity
200;ChunkableTask
201;ChunkableEntityTally
202;ChunkableEntityChunk
203;ChunkableEntityTally2
204;SfdcPartner
205;ChunkableEntityChunk2
208;SFDC_DIVISION
26Z;EmailRelay
2AS;ActiveScratchOrg
2CE;ChunkableTask2
2ED;EncryptionStatisticsChunk
2EP;EncryptableDataProblemChunk
2FE;CleanFactEntityClaim
2FF;CleanFactFieldClaim
2LA;PermissionSetLicenseAssign
2hf;PersonalizationResource
2SR;ScratchOrgInfo
2oN;ReturnOrder
300;FlowDefinition - InteractionDefinition - Visual Workflow or Flow
301;InteractionDefinitionVersion
307;InteractionScreenFieldParam
308;InteractionCondition
309;InteractionOperand
30A;InteractionAllocator
30C;InteractionChoice
30D;InteractionDecision
30F;InteractionForm
30L;InteractionConnector
30Q;InteractionQuestion
30R;InteractionReference
30S;InteractionStatement
30V;InteractionVariable
30W;InteractionWait
30X;ProcessPlugin
30a;InteractionAllocation
